,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
2973,2020,558,NIC,1270,es,1,33,2,1270,2,2,2,1,8,2,3,2,8,558001
2974,2018,360,IDN,1890,id,2,37,2,2030,1,3,5,3,4,2,3,2,5,360004
2975,2017,688,SRB,3780,sr,1,63,3,3780,1,2,4,2,4,2,2,2,3,688001
2976,2022,434,LBY,170,ar,2,38,2,170,3,1,3,2,0,-3,2,1,5,434005
2977,2021,862,VEN,1270,es,1,20,1,1270,6,0,3,2,8,2,5,1,2,862001
2978,2021,51,ARM,200,hy,2,28,1,200,6,0,7,3,5,3,3,2,9,51001
2979,2018,152,CHL,1270,es,2,34,2,1270,1,2,4,2,1,1,3,1,0,152001
2980,2022,860,UZB,4450,uz,2,46,2,4450,1,4,6,3,1,1,3,2,1,860007
2981,2018,792,TUR,4370,tr,1,30,2,-4,1,0,2,1,1,2,2,3,5,-5
2982,2018,152,CHL,1270,es,1,69,3,1270,1,2,3,2,6,-3,3,2,1,152001
2983,2018,484,MEX,1270,es,2,48,2,1270,2,4,3,2,4,2,3,1,1,484002
2984,2018,76,BRA,3530,pt,1,67,3,3530,1,5,1,1,8,2,5,1,2,76005
2985,2018,792,TUR,4370,tr,2,22,1,-4,6,0,1,1,0,2,-1,1,5,-5
2986,2020,496,MNG,3030,mn,1,22,1,3030,6,0,4,2,8,3,4,2,0,496001
2987,2019,446,MAC,2870,zh,1,-5,-5,790,6,0,5,3,5,2,2,2,0,446006
2988,2017,643,RUS,3630,ru,2,59,3,3630,1,2,7,3,3,2,2,2,0,643001
2989,2022,826,GBR,1240,en,2,78,3,1240,5,-4,2,1,6,2,-4,2,2,826100
2990,2020,231,ETH,140,am,2,35,2,3920,1,5,0,1,0,3,4,1,5,231004
2991,2018,410,KOR,2390,ko,2,38,2,2390,1,1,3,2,5,2,3,2,0,410004
2992,2021,462,MDV,1105,dv,1,27,1,1105,1,0,5,3,2,2,4,2,5,462003
2993,2020,804,UKR,4410,uk,1,40,2,4410,1,1,5,3,6,1,3,2,3,804001
2994,2020,124,CAN,1240,en,2,39,2,1240,1,3,4,2,2,-3,2,2,1,124001
2995,2022,434,LBY,170,ar,1,61,3,170,5,4,3,2,-2,1,3,2,5,434005
2996,2021,504,MAR,170,ar,1,21,1,170,6,0,5,3,0,2,5,1,5,504005
2997,2018,344,HKG,790,zh,2,62,3,790,3,2,6,3,3,-2,3,2,0,344001
2998,2019,446,MAC,2870,zh,2,-5,-5,790,1,2,1,1,5,3,3,2,7,446006
2999,2017,643,RUS,3630,ru,1,28,1,3630,1,2,5,3,6,2,3,2,3,643001
3000,2020,762,TJK,4160,tg,1,41,2,4160,1,5,6,3,1,1,3,2,5,762001
